name,href,page,physical_damage,min_physical_damage,max_physical_damage,avg_physical_damage,critical_hit_chance,attacks_per_second,requirements,required_level,required_dex,implicit
Runeforged Steelpoint Shoes,Runeforged_Steelpoint_Shoes,Boots_dex_int,,,,,,,"Level 45 , 34 Dex , 34 Int",45,34,
Runeforged Treerunner Shoes,Runeforged_Treerunner_Shoes,Boots_dex_int,,,,,,,"Level 59 , 44 Dex , 44 Int",59,44,
Runeforged Wanderer Shoes,Runeforged_Wanderer_Shoes,Boots_dex_int,,,,,,,"Level 65 , 47 Dex , 47 Int",65,47,
Runeforged Charmed Shoes,Runeforged_Charmed_Shoes,Boots_dex_int,,,,,,,"Level 70 , 51 Dex , 51 Int",70,51,
Runeforged Quickslip Shoes,Runeforged_Quickslip_Shoes,Boots_dex_int,,,,,,,"Level 75 , 56 Dex , 56 Int",75,56,
Runeforged Daggerfoot Shoes,Runeforged_Daggerfoot_Shoes,Boots_dex_int,,,,,,,"Level 80 , 59 Dex , 59 Int",80,59,
Runemastered Threaded Shoes,Runemastered_Threaded_Shoes,Boots_dex_int,,,,,,,"Level 38 , 29 Dex , 29 Int",38,29,5 % increased Movement Speed
Runemastered Hunting Shoes,Runemastered_Hunting_Shoes,Boots_dex_int,,,,,,,"Level 40 , 30 Dex , 30 Int",40,30,
Runemastered Velour Shoes,Runemastered_Velour_Shoes,Boots_dex_int,,,,,,,"Level 65 , 47 Dex , 47 Int",65,47,
Rusted Cuirass,Rusted_Cuirass,Body_Armours_str,,,,,,,,,,
Fur Plate,Fur_Plate,Body_Armours_str,,,,,,,"Level 4 , 10 Str",4,,
Iron Cuirass,Iron_Cuirass,Body_Armours_str,,,,,,,"Level 11 , 21 Str",11,,
Raider Plate,Raider_Plate,Body_Armours_str,,,,,,,"Level 16 , 28 Str",16,,
Maraketh Cuirass,Maraketh_Cuirass,Body_Armours_str,,,,,,,"Level 20 , 34 Str",20,,
Steel Plate,Steel_Plate,Body_Armours_str,,,,,,,"Level 27 , 45 Str",27,,
Full Plate,Full_Plate,Body_Armours_str,,,,,,,"Level 33 , 54 Str",33,,
Vaal Cuirass,Vaal_Cuirass,Body_Armours_str,,,,,,,"Level 37 , 60 Str",37,,
Juggernaut Plate,Juggernaut_Plate,Body_Armours_str,,,,,,,"Level 45 , 72 Str",45,,
Chieftain Cuirass,Chieftain_Cuirass,Body_Armours_str,,,,,,,"Level 50 , 80 Str",50,,
Colosseum Plate,Colosseum_Plate,Body_Armours_str,,,,,,,"Level 52 , 83 Str",52,,
Champion Cuirass,Champion_Cuirass,Body_Armours_str,,,,,,,"Level 58 , 92 Str",58,,
Glorious Plate,Glorious_Plate,Body_Armours_str,,,,,,,"Level 65 , 121 Str",65,,
Conqueror Plate,Conqueror_Plate,Body_Armours_str,,,,,,,"Level 68 , 121 Str",68,,(30 - 40) % increased Stun Threshold
Abyssal Cuirass,Abyssal_Cuirass,Body_Armours_str,,,,,,,"Level 73 , 121 Str",73,,Regenerate (1.5 - 2.5) % of maximum Life per second
Runemastered Grasping Mail,Runemastered_Grasping_Mail,Body_Armours_str,,,,,,,"Level 65 , 112 Str",65,,Can roll Ring Modifiers | Catalysts can be applied to this item
Barbarian Plate,Barbarian_Plate,Body_Armours_str,,,,,,,"Level 45 , 72 Str",45,,
Rugged Cuirass,Rugged_Cuirass,Body_Armours_str,,,,,,,"Level 48 , 77 Str",48,,
Sandsworn Cuirass,Sandsworn_Cuirass,Body_Armours_str,,,,,,,"Level 51 , 82 Str",51,,
Elegant Plate,Elegant_Plate,Body_Armours_str,,,,,,,"Level 54 , 86 Str",54,,
Heavy Plate,Heavy_Plate,Body_Armours_str,,,,,,,"Level 59 , 94 Str",59,,
Stone Cuirass,Stone_Cuirass,Body_Armours_str,,,,,,,"Level 62 , 98 Str",62,,
Soldier Cuirass,Soldier_Cuirass,Body_Armours_str,,,,,,,"Level 65 , 121 Str",65,,
Ornate Plate,Ornate_Plate,Body_Armours_str,,,,,,,"Level 70 , 121 Str",70,,Regenerate (1.5 - 2.5) % of maximum Life per second
Utzaal Cuirass,Utzaal_Cuirass,Body_Armours_str,,,,,,,"Level 75 , 121 Str",75,,(30 - 40) % increased Stun Threshold
Warlord Cuirass,Warlord_Cuirass,Body_Armours_str,,,,,,,"Level 80 , 121 Str",80,,+(15 - 25) % of Armour also applies to Elemental Damage
Runeforged Rusted Cuirass,Runeforged_Rusted_Cuirass,Body_Armours_str,,,,,,,,,,
Runeforged Fur Plate,Runeforged_Fur_Plate,Body_Armours_str,,,,,,,"Level 4 , 10 Str",4,,
Runeforged Iron Cuirass,Runeforged_Iron_Cuirass,Body_Armours_str,,,,,,,"Level 11 , 21 Str",11,,
Runeforged Raider Plate,Runeforged_Raider_Plate,Body_Armours_str,,,,,,,"Level 16 , 28 Str",16,,
Runeforged Maraketh Cuirass,Runeforged_Maraketh_Cuirass,Body_Armours_str,,,,,,,"Level 20 , 34 Str",20,,
Runeforged Steel Plate,Runeforged_Steel_Plate,Body_Armours_str,,,,,,,"Level 27 , 45 Str",27,,
Runeforged Full Plate,Runeforged_Full_Plate,Body_Armours_str,,,,,,,"Level 33 , 54 Str",33,,
Runeforged Vaal Cuirass,Runeforged_Vaal_Cuirass,Body_Armours_str,,,,,,,"Level 37 , 60 Str",37,,
Runeforged Juggernaut Plate,Runeforged_Juggernaut_Plate,Body_Armours_str,,,,,,,"Level 45 , 72 Str",45,,
Runeforged Chieftain Cuirass,Runeforged_Chieftain_Cuirass,Body_Armours_str,,,,,,,"Level 50 , 80 Str",50,,
Runeforged Conqueror Plate,Runeforged_Conqueror_Plate,Body_Armours_str,,,,,,,"Level 68 , 121 Str",68,,(30 - 40) % increased Stun Threshold
Runeforged Elegant Plate,Runeforged_Elegant_Plate,Body_Armours_str,,,,,,,"Level 54 , 86 Str",54,,
Runeforged Heavy Plate,Runeforged_Heavy_Plate,Body_Armours_str,,,,,,,"Level 59 , 94 Str",59,,
Runeforged Stone Cuirass,Runeforged_Stone_Cuirass,Body_Armours_str,,,,,,,"Level 62 , 98 Str",62,,
Runeforged Soldier Cuirass,Runeforged_Soldier_Cuirass,Body_Armours_str,,,,,,,"Level 65 , 121 Str",65,,
Runeforged Ornate Plate,Runeforged_Ornate_Plate,Body_Armours_str,,,,,,,"Level 70 , 121 Str",70,,Regenerate (1.5 - 2.5) % of maximum Life per second
Runeforged Utzaal Cuirass,Runeforged_Utzaal_Cuirass,Body_Armours_str,,,,,,,"Level 75 , 121 Str",75,,(30 - 40) % increased Stun Threshold
Runeforged Warlord Cuirass,Runeforged_Warlord_Cuirass,Body_Armours_str,,,,,,,"Level 80 , 121 Str",80,,+(15 - 25) % of Armour also applies to Elemental Damage
Runemastered Rusted Cuirass,Runemastered_Rusted_Cuirass,Body_Armours_str,,,,,,,"Level 38 , 61 Str",38,,
Runeforged Fur Plate,Runeforged_Fur_Plate,Body_Armours_str,,,,,,,"Level 38 , 61 Str",38,,
Runemastered Iron Cuirass,Runemastered_Iron_Cuirass,Body_Armours_str,,,,,,,"Level 38 , 61 Str",38,,
Runemastered Raider Plate,Runemastered_Raider_Plate,Body_Armours_str,,,,,,,"Level 38 , 61 Str",38,,
Runemastered Maraketh Cuirass,Runemastered_Maraketh_Cuirass,Body_Armours_str,,,,,,,"Level 38 , 61 Str",38,,
Runemastered Steel Plate,Runemastered_Steel_Plate,Body_Armours_str,,,,,,,"Level 40 , 65 Str",40,,
Runemastered Full Plate,Runemastered_Full_Plate,Body_Armours_str,,,,,,,"Level 45 , 72 Str",45,,
Runemastered Vaal Cuirass,Runemastered_Vaal_Cuirass,Body_Armours_str,,,,,,,"Level 55 , 87 Str",55,,
Leather Vest,Leather_Vest,Body_Armours_dex,,,,,,,,,,
Quilted Vest,Quilted_Vest,Body_Armours_dex,,,,,,,"Level 4 , 10 Dex",4,10,
Pathfinder Coat,Pathfinder_Coat,Body_Armours_dex,,,,,,,"Level 11 , 21 Dex",11,21,
Shrouded Vest,Shrouded_Vest,Body_Armours_dex,,,,,,,"Level 16 , 28 Dex",16,28,
Rhoahide Coat,Rhoahide_Coat,Body_Armours_dex,,,,,,,"Level 22 , 37 Dex",22,37,
Studded Vest,Studded_Vest,Body_Armours_dex,,,,,,,"Level 26 , 43 Dex",26,43,
Scout's Vest,Scouts_Vest,Body_Armours_dex,,,,,,,"Level 33 , 54 Dex",33,54,
Serpentscale Coat,Serpentscale_Coat,Body_Armours_dex,,,,,,,"Level 36 , 59 Dex",36,59,
Corsair Vest,Corsair_Vest,Body_Armours_dex,,,,,,,"Level 45 , 72 Dex",45,72,
Smuggler Coat,Smuggler_Coat,Body_Armours_dex,,,,,,,"Level 51 , 82 Dex",51,82,
Strider Vest,Strider_Vest,Body_Armours_dex,,,,,,,"Level 52 , 83 Dex",52,83,
Hardleather Coat,Hardleather_Coat,Body_Armours_dex,,,,,,,"Level 56 , 89 Dex",56,89,
Exquisite Vest,Exquisite_Vest,Body_Armours_dex,,,,,,,"Level 65 , 121 Dex",65,121,
Mail Coat,Mail_Coat,Body_Armours_dex,,,,,,,"Level 68 , 121 Dex",68,121,(20 - 30) % reduced Slowing Potency of Debuffs on You
Armoured Vest,Armoured_Vest,Body_Armours_dex,,,,,,,"Level 73 , 121 Dex",73,121,(30 - 40) % increased Elemental Ailment Threshold
Runemastered Grasping Mail,Runemastered_Grasping_Mail,Body_Armours_dex,,,,,,,"Level 65 , 112 Dex",65,112,Can roll Ring Modifiers | Catalysts can be applied to this item
Patchwork Vest,Patchwork_Vest,Body_Armours_dex,,,,,,,"Level 45 , 72 Dex",45,72,
Hunting Coat,Hunting_Coat,Body_Armours_dex,,,,,,,"Level 48 , 77 Dex",48,77,
Riding Coat,Riding_Coat,Body_Armours_dex,,,,,,,"Level 51 , 82 Dex",51,82,
Layered Vest,Layered_Vest,Body_Armours_dex,,,,,,,"Level 54 , 86 Dex",54,86,
Runner Vest,Runner_Vest,Body_Armours_dex,,,,,,,"Level 59 , 94 Dex",59,94,
Lizardscale Coat,Lizardscale_Coat,Body_Armours_dex,,,,,,,"Level 62 , 98 Dex",62,98,
Swiftstalker Coat,Swiftstalker_Coat,Body_Armours_dex,,,,,,,"Level 65 , 121 Dex",65,121,(20 - 30) % reduced Slowing Potency of Debuffs on You
Slipstrike Vest,Slipstrike_Vest,Body_Armours_dex,,,,,,,"Level 70 , 121 Dex",70,121,
Wyrmscale Coat,Wyrmscale_Coat,Body_Armours_dex,,,,,,,"Level 75 , 121 Dex",75,121,(30 - 40) % increased Elemental Ailment Threshold
Corsair Coat,Corsair_Coat,Body_Armours_dex,,,,,,,"Level 80 , 121 Dex",80,121,5 % increased Movement Speed
Runeforged Leather Vest,Runeforged_Leather_Vest,Body_Armours_dex,,,,,,,,,,
Runeforged Quilted Vest,Runeforged_Quilted_Vest,Body_Armours_dex,,,,,,,"Level 4 , 10 Dex",4,10,
Runeforged Pathfinder Coat,Runeforged_Pathfinder_Coat,Body_Armours_dex,,,,,,,"Level 11 , 21 Dex",11,21,
Runeforged Shrouded Vest,Runeforged_Shrouded_Vest,Body_Armours_dex,,,,,,,"Level 16 , 28 Dex",16,28,
Runeforged Rhoahide Coat,Runeforged_Rhoahide_Coat,Body_Armours_dex,,,,,,,"Level 22 , 37 Dex",22,37,
Runeforged Studded Vest,Runeforged_Studded_Vest,Body_Armours_dex,,,,,,,"Level 26 , 43 Dex",26,43,
Runeforged Scout's Vest,Runeforged_Scouts_Vest,Body_Armours_dex,,,,,,,"Level 33 , 54 Dex",33,54,
Runeforged Serpentscale Coat,Runeforged_Serpentscale_Coat,Body_Armours_dex,,,,,,,"Level 36 , 59 Dex",36,59,
Runeforged Corsair Vest,Runeforged_Corsair_Vest,Body_Armours_dex,,,,,,,"Level 45 , 72 Dex",45,72,
Runeforged Smuggler Coat,Runeforged_Smuggler_Coat,Body_Armours_dex,,,,,,,"Level 51 , 82 Dex",51,82,
Runeforged Layered Vest,Runeforged_Layered_Vest,Body_Armours_dex,,,,,,,"Level 54 , 86 Dex",54,86,
Runeforged Runner Vest,Runeforged_Runner_Vest,Body_Armours_dex,,,,,,,"Level 59 , 94 Dex",59,94,
Runeforged Lizardscale Coat,Runeforged_Lizardscale_Coat,Body_Armours_dex,,,,,,,"Level 62 , 98 Dex",62,98,
Runeforged Swiftstalker Coat,Runeforged_Swiftstalker_Coat,Body_Armours_dex,,,,,,,"Level 65 , 121 Dex",65,121,(20 - 30) % reduced Slowing Potency of Debuffs on You
Runeforged Slipstrike Vest,Runeforged_Slipstrike_Vest,Body_Armours_dex,,,,,,,"Level 70 , 121 Dex",70,121,
Runeforged Wyrmscale Coat,Runeforged_Wyrmscale_Coat,Body_Armours_dex,,,,,,,"Level 75 , 121 Dex",75,121,(30 - 40) % increased Elemental Ailment Threshold
Runeforged Corsair Coat,Runeforged_Corsair_Coat,Body_Armours_dex,,,,,,,"Level 80 , 121 Dex",80,121,5 % increased Movement Speed
Runemastered Leather Vest,Runemastered_Leather_Vest,Body_Armours_dex,,,,,,,"Level 38 , 61 Dex",38,61,
Runemastered Quilted Vest,Runemastered_Quilted_Vest,Body_Armours_dex,,,,,,,"Level 38 , 61 Dex",38,61,
Runemastered Pathfinder Coat,Runemastered_Pathfinder_Coat,Body_Armours_dex,,,,,,,"Level 38 , 61 Dex",38,61,
Runemastered Shrouded Vest,Runemastered_Shrouded_Vest,Body_Armours_dex,,,,,,,"Level 38 , 61 Dex",38,61,
Runemastered Rhoahide Coat,Runemastered_Rhoahide_Coat,Body_Armours_dex,,,,,,,"Level 38 , 61 Dex",38,61,
Runemastered Studded Vest,Runemastered_Studded_Vest,Body_Armours_dex,,,,,,,"Level 40 , 65 Dex",40,65,
Runemastered Scout's Vest,Runemastered_Scouts_Vest,Body_Armours_dex,,,,,,,"Level 55 , 87 Dex",55,87,
Runemastered Serpentscale Coat,Runemastered_Serpentscale_Coat,Body_Armours_dex,,,,,,,"Level 55 , 87 Dex",55,87,
Runemastered Smuggler Coat,Runemastered_Smuggler_Coat,Body_Armours_dex,,,,,,,"Level 65 , 103 Dex",65,103,
Runemastered Strider Vest,Runemastered_Strider_Vest,Body_Armours_dex,,,,,,,"Level 70 , 103 Dex",70,103,
Runemastered Exquisite Vest,Runemastered_Exquisite_Vest,Body_Armours_dex,,,,,,,"Level 70 , 121 Dex",70,121,
Runemastered Armoured Vest,Runemastered_Armoured_Vest,Body_Armours_dex,,,,,,,"Level 80 , 121 Dex",80,121,(30 - 40) % increased Elemental Ailment Threshold
Tattered Robe,Tattered_Robe,Body_Armours_int,,,,,,,,,,
Feathered Robe,Feathered_Robe,Body_Armours_int,,,,,,,"Level 5 , 11 Int",5,,
Hexer's Robe,Hexers_Robe,Body_Armours_int,,,,,,,"Level 11 , 21 Int",11,,
Bone Raiment,Bone_Raiment,Body_Armours_int,,,,,,,"Level 16 , 28 Int",16,,
Silk Robe,Silk_Robe,Body_Armours_int,,,,,,,"Level 22 , 37 Int",22,,
Keth Raiment,Keth_Raiment,Body_Armours_int,,,,,,,"Level 28 , 47 Int",28,,
Votive Raiment,Votive_Raiment,Body_Armours_int,,,,,,,"Level 33 , 54 Int",33,,
Altar Robe,Altar_Robe,Body_Armours_int,,,,,,,"Level 40 , 65 Int",40,,
Elementalist Robe,Elementalist_Robe,Body_Armours_int,,,,,,,"Level 45 , 72 Int",45,,
Mystic Raiment,Mystic_Raiment,Body_Armours_int,,,,,,,"Level 49 , 78 Int",49,,
Imperial Robe,Imperial_Robe,Body_Armours_int,,,,,,,"Level 52 , 83 Int",52,,
Plated Raiment,Plated_Raiment,Body_Armours_int,,,,,,,"Level 58 , 92 Int",58,,
Havoc Raiment,Havoc_Raiment,Body_Armours_int,,,,,,,"Level 65 , 121 Int",65,,
Enlightened Robe,Enlightened_Robe,Body_Armours_int,,,,,,,"Level 68 , 121 Int",68,,(40 - 50) % increased Mana Regeneration Rate
Arcane Raiment,Arcane_Raiment,Body_Armours_int,,,,,,,"Level 73 , 121 Int",73,,(20 - 25) % increased Energy Shield Recharge Rate
Runemastered Grasping Mail,Runemastered_Grasping_Mail,Body_Armours_int,,,,,,,"Level 65 , 112 Int",65,,Can roll Ring Modifiers | Catalysts can be applied to this item
Avian Robe,Avian_Robe,Body_Armours_int,,,,,,,"Level 45 , 72 Int",45,,
Cursespeaker's Robe,Cursespeakers_Robe,Body_Armours_int,,,,,,,"Level 48 , 77 Int",48,,
Luxurious Robe,Luxurious_Robe,Body_Armours_int,,,,,,,"Level 51 , 82 Int",51,,
River Raiment,River_Raiment,Body_Armours_int,,,,,,,"Level 54 , 86 Int",54,,
Adherent's Raiment,Adherents_Raiment,Body_Armours_int,,,,,,,"Level 59 , 94 Int",59,,
Ceremonial Robe,Ceremonial_Robe,Body_Armours_int,,,,,,,"Level 62 , 98 Int",62,,
Vile Robe,Vile_Robe,Body_Armours_int,,,,,,,"Level 65 , 121 Int",65,,
Flowing Raiment,Flowing_Raiment,Body_Armours_int,,,,,,,"Level 70 , 121 Int",70,,(40 - 50) % increased Mana Regeneration Rate
Sacramental Robe,Sacramental_Robe,Body_Armours_int,,,,,,,"Level 75 , 121 Int",75,,(20 - 25) % increased Energy Shield Recharge Rate
Feathered Raiment,Feathered_Raiment,Body_Armours_int,,,,,,,"Level 80 , 121 Int",80,,(5 - 10) % of Damage is taken from Mana before Life
Runeforged Tattered Robe,Runeforged_Tattered_Robe,Body_Armours_int,,,,,,,,,,
Runeforged Feathered Robe,Runeforged_Feathered_Robe,Body_Armours_int,,,,,,,"Level 5 , 11 Int",5,,
Runeforged Hexer's Robe,Runeforged_Hexers_Robe,Body_Armours_int,,,,,,,"Level 11 , 21 Int",11,,
Runeforged Bone Raiment,Runeforged_Bone_Raiment,Body_Armours_int,,,,,,,"Level 16 , 28 Int",16,,
Runeforged Silk Robe,Runeforged_Silk_Robe,Body_Armours_int,,,,,,,"Level 22 , 37 Int",22,,
Runeforged Keth Raiment,Runeforged_Keth_Raiment,Body_Armours_int,,,,,,,"Level 28 , 47 Int",28,,
Runeforged Votive Raiment,Runeforged_Votive_Raiment,Body_Armours_int,,,,,,,"Level 33 , 54 Int",33,,
Runeforged Altar Robe,Runeforged_Altar_Robe,Body_Armours_int,,,,,,,"Level 40 , 65 Int",40,,
Runeforged Elementalist Robe,Runeforged_Elementalist_Robe,Body_Armours_int,,,,,,,"Level 45 , 72 Int",45,,
Runeforged Mystic Raiment,Runeforged_Mystic_Raiment,Body_Armours_int,,,,,,,"Level 49 , 78 Int",49,,
Runeforged River Raiment,Runeforged_River_Raiment,Body_Armours_int,,,,,,,"Level 54 , 86 Int",54,,
Runeforged Adherent's Raiment,Runeforged_Adherents_Raiment,Body_Armours_int,,,,,,,"Level 59 , 94 Int",59,,
Runeforged Ceremonial Robe,Runeforged_Ceremonial_Robe,Body_Armours_int,,,,,,,"Level 62 , 98 Int",62,,
Runeforged Vile Robe,Runeforged_Vile_Robe,Body_Armours_int,,,,,,,"Level 65 , 121 Int",65,,
Runeforged Flowing Raiment,Runeforged_Flowing_Raiment,Body_Armours_int,,,,,,,"Level 70 , 121 Int",70,,(30 - 40) % increased Runic Ward Regeneration Rate
Runeforged Sacramental Robe,Runeforged_Sacramental_Robe,Body_Armours_int,,,,,,,"Level 75 , 121 Int",75,,(20 - 25) % increased Energy Shield Recharge Rate
Runeforged Feathered Raiment,Runeforged_Feathered_Raiment,Body_Armours_int,,,,,,,"Level 80 , 121 Int",80,,(5 - 10) % of Damage is taken from Mana before Life
Runemastered Tattered Robe,Runemastered_Tattered_Robe,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Feathered Robe,Runemastered_Feathered_Robe,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Hexer's Robe,Runemastered_Hexers_Robe,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Bone Raiment,Runemastered_Bone_Raiment,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Silk Robe,Runemastered_Silk_Robe,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Keth Raiment,Runemastered_Keth_Raiment,Body_Armours_int,,,,,,,"Level 38 , 61 Int",38,,
Runemastered Votive Raiment,Runemastered_Votive_Raiment,Body_Armours_int,,,,,,,"Level 55 , 87 Int",55,,
Runemastered Altar Robe,Runemastered_Altar_Robe,Body_Armours_int,,,,,,,"Level 55 , 87 Int",55,,
Runemastered Elementalist Robe,Runemastered_Elementalist_Robe,Body_Armours_int,,,,,,,"Level 55 , 87 Int",55,,
Runemastered Plated Raiment,Runemastered_Plated_Raiment,Body_Armours_int,,,,,,,"Level 65 , 103 Int",65,,
Runemastered Havoc Raiment,Runemastered_Havoc_Raiment,Body_Armours_int,,,,,,,"Level 70 , 121 Int",70,,
Runemastered Enlightened Robe,Runemastered_Enlightened_Robe,Body_Armours_int,,,,,,,"Level 75 , 121 Int",75,,(40 - 50) % increased Mana Regeneration Rate
Chain Mail,Chain_Mail,Body_Armours_str_dex,,,,,,,,,,
Rogue Armour,Rogue_Armour,Body_Armours_str_dex,,,,,,,"Level 11 , 13 Str , 13 Dex",11,13,
Vagabond Armour,Vagabond_Armour,Body_Armours_str_dex,,,,,,,"Level 16 , 17 Str , 17 Dex",16,17,
Cloaked Mail,Cloaked_Mail,Body_Armours_str_dex,,,,,,,"Level 26 , 25 Str , 25 Dex",26,25,
Explorer Armour,Explorer_Armour,Body_Armours_str_dex,,,,,,,"Level 33 , 31 Str , 31 Dex",33,31,
Scale Mail,Scale_Mail,Body_Armours_str_dex,,,,,,,"Level 37 , 34 Str , 34 Dex",37,34,
Knight Armour,Knight_Armour,Body_Armours_str_dex,,,,,,,"Level 45 , 41 Str , 41 Dex",45,41,
Ancestral Mail,Ancestral_Mail,Body_Armours_str_dex,,,,,,,"Level 50 , 44 Str , 44 Dex",50,44,
Lamellar Mail,Lamellar_Mail,Body_Armours_str_dex,,,,,,,"Level 52 , 46 Str , 46 Dex",52,46,
Gladiator Armour,Gladiator_Armour,Body_Armours_str_dex,,,,,,,"Level 58 , 51 Str , 51 Dex",58,51,
Heroic Armour,Heroic_Armour,Body_Armours_str_dex,,,,,,,"Level 65 , 67 Str , 67 Dex",65,67,+(60 - 80) to maximum Life
Tournament Mail,Tournament_Mail,Body_Armours_str_dex,,,,,,,"Level 68 , 67 Str , 67 Dex",68,67,+(20 - 25) % to Fire Resistance
Tournament Mail,Tournament_Mail,Body_Armours_str_dex,,,,,,,"Level 68 , 67 Str , 67 Dex",68,67,+(20 - 25) % to Cold Resistance
Tournament Mail,Tournament_Mail,Body_Armours_str_dex,,,,,,,"Level 68 , 67 Str , 67 Dex",68,67,+(20 - 25) % to Lightning Resistance
Slayer Armour,Slayer_Armour,Body_Armours_str_dex,,,,,,,"Level 73 , 67 Str , 67 Dex",73,67,
Runeforged Grasping Mail,Runeforged_Grasping_Mail,Body_Armours_str_dex,,,,,,,"Level 65 , 61 Str , 61 Dex",65,61,Can roll Ring Modifiers | Catalysts can be applied to this item
Ring Mail,Ring_Mail,Body_Armours_str_dex,,,,,,,"Level 45 , 41 Str , 41 Dex",45,41,
Scoundrel Armour,Scoundrel_Armour,Body_Armours_str_dex,,,,,,,"Level 48 , 43 Str , 43 Dex",48,43,
Wanderer Armour,Wanderer_Armour,Body_Armours_str_dex,,,,,,,"Level 51 , 45 Str , 45 Dex",51,45,
Mantled Mail,Mantled_Mail,Body_Armours_str_dex,,,,,,,"Level 54 , 48 Str , 48 Dex",54,48,
Trailblazer Armour,Trailblazer_Armour,Body_Armours_str_dex,,,,,,,"Level 59 , 52 Str , 52 Dex",59,52,
Golden Mail,Golden_Mail,Body_Armours_str_dex,,,,,,,"Level 62 , 54 Str , 54 Dex",62,54,
Dastard Armour,Dastard_Armour,Body_Armours_str_dex,,,,,,,"Level 65 , 67 Str , 67 Dex",65,67,+(60 - 80) to maximum Life
Shrouded Mail,Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Fire Resistance
Shrouded Mail,Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Cold Resistance
Shrouded Mail,Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Lightning Resistance
Death Mail,Death_Mail,Body_Armours_str_dex,,,,,,,"Level 75 , 67 Str , 67 Dex",75,67,
Thane Mail,Thane_Mail,Body_Armours_str_dex,,,,,,,"Level 80 , 67 Str , 67 Dex",80,67,Hits against you have (15 - 25) % reduced Critical Damage Bonus
Runeforged Chain Mail,Runeforged_Chain_Mail,Body_Armours_str_dex,,,,,,,,,,
Runeforged Rogue Armour,Runeforged_Rogue_Armour,Body_Armours_str_dex,,,,,,,"Level 11 , 13 Str , 13 Dex",11,13,
Runeforged Vagabond Armour,Runeforged_Vagabond_Armour,Body_Armours_str_dex,,,,,,,"Level 16 , 17 Str , 17 Dex",16,17,
Runeforged Cloaked Mail,Runeforged_Cloaked_Mail,Body_Armours_str_dex,,,,,,,"Level 26 , 25 Str , 25 Dex",26,25,
Runeforged Explorer Armour,Runeforged_Explorer_Armour,Body_Armours_str_dex,,,,,,,"Level 33 , 31 Str , 31 Dex",33,31,
Runeforged Scale Mail,Runeforged_Scale_Mail,Body_Armours_str_dex,,,,,,,"Level 37 , 34 Str , 34 Dex",37,34,
Runeforged Knight Armour,Runeforged_Knight_Armour,Body_Armours_str_dex,,,,,,,"Level 45 , 41 Str , 41 Dex",45,41,
Runeforged Ancestral Mail,Runeforged_Ancestral_Mail,Body_Armours_str_dex,,,,,,,"Level 50 , 44 Str , 44 Dex",50,44,
Runeforged Slayer Armour,Runeforged_Slayer_Armour,Body_Armours_str_dex,,,,,,,"Level 73 , 67 Str , 67 Dex",73,67,
Runeforged Sacrificial Regalia,Runeforged_Sacrificial_Regalia,Body_Armours_str_dex,,,,,,,"Level 65 , 80 Str , 80 Dex",65,80,+1 to Level of all Corrupted Skill Gems | 1 % increased Maximum Life for each Corrupted Item Equipped
Runeforged Mantled Mail,Runeforged_Mantled_Mail,Body_Armours_str_dex,,,,,,,"Level 54 , 48 Str , 48 Dex",54,48,
Runeforged Trailblazer Armour,Runeforged_Trailblazer_Armour,Body_Armours_str_dex,,,,,,,"Level 59 , 52 Str , 52 Dex",59,52,
Runeforged Golden Mail,Runeforged_Golden_Mail,Body_Armours_str_dex,,,,,,,"Level 62 , 54 Str , 54 Dex",62,54,
Runeforged Dastard Armour,Runeforged_Dastard_Armour,Body_Armours_str_dex,,,,,,,"Level 65 , 67 Str , 67 Dex",65,67,+(60 - 80) to maximum Life
Runeforged Shrouded Mail,Runeforged_Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Fire Resistance
Runeforged Shrouded Mail,Runeforged_Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Cold Resistance
Runeforged Shrouded Mail,Runeforged_Shrouded_Mail,Body_Armours_str_dex,,,,,,,"Level 70 , 67 Str , 67 Dex",70,67,+(20 - 25) % to Lightning Resistance
Runeforged Death Mail,Runeforged_Death_Mail,Body_Armours_str_dex,,,,,,,"Level 75 , 67 Str , 67 Dex",75,67,
Runeforged Thane Mail,Runeforged_Thane_Mail,Body_Armours_str_dex,,,,,,,"Level 80 , 67 Str , 67 Dex",80,67,Hits against you have (15 - 25) % reduced Critical Damage Bonus
Runemastered Chain Mail,Runemastered_Chain_Mail,Body_Armours_str_dex,,,,,,,"Level 38 , 35 Str , 35 Dex",38,35,
